date,open,high,low,close,volume
2026-02-27,181.25,182.59,176.38,177.19,311636494
2026-02-26,194.27,194.29,184.315,184.89,360807907
2026-02-25,194.45,197.6299,193.79,195.56,250637102
2026-02-24,191.49,193.77,187.4,192.85,175123602
2026-02-23,191.4,193.95,189.575,191.55,171584839
2026-02-20,186.57,190.33,185.9378,189.82,178422337
2026-02-19,187.055,188.43,185.66,187.9,126554526
2026-02-18,188.75,190.37,186.76,187.98,164749125
2026-02-17,181.75,187.15,179.18,184.97,162276860
2026-02-13,187.475,187.5,181.59,182.81,161888021
2026-02-12,193.03,193.61,186.51,186.94,189932491
2026-02-11,192.45,193.26,188.77,190.05,144192685
2026-02-10,191.38,192.48,188.12,188.54,136764825
2026-02-09,184.26,193.66,183.95,190.04,196387351
2026-02-06,176.69,187.0,174.6,185.41,231346241
2026-02-05,174.925,176.815,171.03,171.88,206312890
2026-02-04,179.46,179.58,171.91,174.19,207014116
2026-02-03,186.24,186.27,176.23,180.34,202006430
2026-02-02,187.2,190.3,184.88,185.61,165794054
2026-01-30,191.21,194.49,189.47,191.13,179489463
2026-01-29,191.34,193.48,186.06,192.51,171764375
2026-01-28,191.27,192.35,189.84,191.52,148552677
2026-01-27,187.24,190.0,185.7,188.52,138432307
2026-01-26,187.16,189.12,185.99,186.47,124799649
2026-01-23,187.5,189.6,186.8233,187.67,142748076
2026-01-22,184.75,186.17,183.93,184.84,139636626
2026-01-21,179.05,185.379,178.4,183.32,200380959
2026-01-20,181.9,182.3786,177.61,178.07,218355781
2026-01-16,189.075,190.44,186.08,186.23,187967169
2026-01-15,186.5,189.7,186.33,187.05,206188642
2026-01-14,184.32,184.46,180.8,183.14,159586135
2026-01-13,184.995,188.1099,183.4,185.81,160128939
2026-01-12,183.22,187.12,183.02,184.94,137968453
2026-01-09,185.08,186.34,183.6701,184.86,131327534
2026-01-08,189.11,189.55,183.71,185.04,172457048
2026-01-07,188.57,191.37,186.56,189.11,153543174
2026-01-06,190.52,192.174,186.82,187.24,176862604
2026-01-05,191.76,193.63,186.15,188.12,183529733
2026-01-02,189.835,192.9299,188.26,188.85,148240462
2025-12-31,189.57,190.56,186.49,186.5,120100484
2025-12-30,188.24,188.99,186.93,187.54,97687274
2025-12-29,187.71,188.755,185.91,188.22,120006103
2025-12-26,189.92,192.69,188.0,190.53,139740292
2025-12-24,187.94,188.91,186.59,188.61,65528545
2025-12-23,182.97,189.33,182.9,189.21,174873621
2025-12-22,183.92,184.16,182.35,183.69,129064369
2025-12-19,176.665,181.45,176.34,180.99,324925927
2025-12-18,174.53,176.15,171.82,174.14,176096001
2025-12-17,176.1,176.13,170.31,170.94,222775464
2025-12-16,176.26,178.49,174.9,177.72,148588098
2025-12-15,177.936,178.415,175.03,176.29,164775636
2025-12-12,181.11,182.82,174.62,175.02,204274918
2025-12-11,180.275,181.32,176.62,180.93,182136641
2025-12-10,184.965,185.48,182.035,183.78,162785370
2025-12-09,185.56,185.7167,183.32,184.97,142372621
2025-12-08,182.64,188.0,182.4,185.55,191927261
2025-12-05,183.89,184.66,180.91,182.41,143971098
2025-12-04,181.62,184.515,179.96,183.38,167364857
2025-12-03,181.08,182.45,179.1101,179.59,165138023
2025-12-02,181.76,185.66,180.0,181.46,182632230
2025-12-01,174.76,180.3,173.68,179.92,188130955
2025-11-28,179.01,179.29,176.5,177.0,121332776
2025-11-26,181.63,182.91,178.24,180.26,183852010
2025-11-25,174.91,178.16,169.55,177.82,320600271
2025-11-24,179.49,183.5,176.48,182.55,256618335
2025-11-21,181.235,184.56,172.93,178.88,346926153
2025-11-20,195.95,196.0,179.85,180.64,343504849
2025-11-19,184.79,187.855,182.8301,186.52,247246436
2025-11-18,183.375,184.8,179.65,181.36,213598877
2025-11-17,185.965,189.0,184.32,186.6,173628858
2025-11-14,182.86,191.01,180.58,190.17,186591856
2025-11-13,191.05,191.44,183.85,186.86,207423074
2025-11-12,195.72,195.89,191.13,193.8,154935263
2025-11-11,195.155,195.42,191.3,193.16,176483327
2025-11-10,195.11,199.94,193.79,199.05,198897134
2025-11-07,184.9,188.32,178.91,188.15,264942255
2025-11-06,196.42,197.62,186.38,188.08,223029778
2025-11-05,198.77,202.92,194.65,195.21,166849081
2025-11-04,203.0,203.9699,197.93,198.69,188919320
2025-11-03,208.08,211.335,205.56,206.88,180267285
2025-10-31,206.45,207.97,202.07,202.49,179802178
2025-10-30,205.15,206.16,201.41,202.89,178864443
2025-10-29,207.98,212.1899,204.775,207.04,308829564
2025-10-28,193.05,203.15,191.91,201.03,297986180
2025-10-27,189.99,192.0,188.4318,191.49,153452704
2025-10-24,183.835,187.47,183.5,186.26,131296677
2025-10-23,180.42,183.03,179.7901,182.16,111363718
2025-10-22,181.14,183.44,176.76,180.28,162249552
2025-10-21,182.785,182.785,179.8,181.16,124240168
2025-10-20,183.13,185.2,181.73,182.64,128544711
2025-10-17,180.18,184.1,179.75,183.22,173135217
2025-10-16,182.23,183.28,179.77,181.81,179723309
2025-10-15,184.8,184.87,177.29,179.83,214450482
2025-10-14,184.77,184.8,179.7,180.03,205641380
2025-10-13,187.965,190.1099,185.96,188.32,153482755
2025-10-10,193.505,195.62,182.05,183.16,268774359
2025-10-09,192.225,195.3,191.06,192.57,182997234
2025-10-08,186.57,189.6,186.54,189.11,130168861
2025-10-07,186.23,189.06,184.0,185.04,140088008
2025-10-06,185.5,187.23,183.33,185.54,157678104
